,mean,std,P(> 0.0),P(> 0.5),P(> 1.0),P(> 1.5),P(> 2.0),P(> 2.5),P(> 3.0),P(> 3.5),P(> 4.0),P(> 4.5),P(> 5.0),P(> 5.5),P(> 6.0),P(> 6.5),P(> 7.0),P(> 7.5),P(> 8.0),P(> 8.5),P(> 9.0),P(> 9.5),P(> 10.0)
ATL,3.2238522383901307,1.083659362706661,1.0,0.9994,0.996,0.9541,0.9006,0.7135,0.5847,0.3304,0.2291,0.1503,0.0566,0.0317,0.0089,0.0044,0.001,0.0002,0.0,0.0,0.0,0.0,0.0
CLE,3.345085668865227,1.1084555797074893,0.9999,0.9987,0.9939,0.9481,0.8979,0.7062,0.5835,0.4532,0.2261,0.1484,0.0893,0.0273,0.0145,0.004,0.0025,0.0009,0.0002,0.0001,0.0001,0.0,0.0
NOP,3.098061303399712,1.03931305210588,1.0,0.9987,0.9939,0.9538,0.8164,0.7049,0.576,0.3305,0.2248,0.0816,0.0467,0.0114,0.005,0.0027,0.0007,0.0002,0.0002,0.0,0.0,0.0,0.0
CHI,3.3353695796971086,1.1279902404505524,0.9999,0.9988,0.9949,0.9574,0.8996,0.7081,0.5813,0.4518,0.2297,0.1491,0.0901,0.0312,0.0147,0.0071,0.0016,0.0007,0.0,0.0,0.0,0.0,0.0
DAL,3.1783929315957358,1.0917368827940093,1.0,0.9991,0.9938,0.951,0.8939,0.7079,0.5775,0.3295,0.2325,0.1473,0.0518,0.0296,0.0157,0.0024,0.0005,0.0002,0.0,0.0,0.0,0.0,0.0
DEN,3.2036294124876785,1.1033780427261815,0.9997,0.9987,0.9941,0.9513,0.8137,0.7046,0.5842,0.4516,0.235,0.0941,0.0541,0.0287,0.0145,0.0037,0.0019,0.0006,0.0003,0.0,0.0,0.0,0.0
GSW,3.379234741966791,1.1284750040520184,0.9998,0.9991,0.9947,0.9517,0.899,0.7156,0.5849,0.4525,0.2262,0.1477,0.0874,0.0486,0.0134,0.0067,0.0026,0.0005,0.0004,0.0001,0.0,0.0,0.0
HOU,3.4476772744348367,1.1562744760150334,0.9999,0.9991,0.9943,0.9521,0.9002,0.8193,0.5858,0.4593,0.3393,0.1523,0.0972,0.0565,0.0188,0.0086,0.0041,0.0008,0.0004,0.0001,0.0001,0.0,0.0
LAC,3.386935429966687,1.1520752472379263,1.0,0.9987,0.9946,0.9555,0.9054,0.7157,0.5892,0.4567,0.2377,0.1541,0.0944,0.032,0.0174,0.0092,0.0038,0.0007,0.0,0.0,0.0,0.0,0.0
LAL,3.149370604695277,1.0756261736069832,0.9999,0.9992,0.9949,0.9497,0.8151,0.7059,0.5809,0.3226,0.2276,0.0882,0.0511,0.0147,0.0075,0.0043,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
MIA,3.3465727551274917,1.1061189818937638,0.9999,0.9993,0.9955,0.9544,0.898,0.7129,0.5871,0.4609,0.232,0.1529,0.0598,0.0326,0.0172,0.0043,0.0022,0.0006,0.0002,0.0001,0.0,0.0,0.0
MIL,3.206666391523626,1.1075759695124405,1.0,0.9994,0.995,0.955,0.823,0.7076,0.5782,0.3279,0.2289,0.1478,0.0551,0.0313,0.0168,0.0043,0.0013,0.0001,0.0,0.0,0.0,0.0,0.0
MIN,3.428575321629661,1.1612178471422767,1.0,0.9988,0.9947,0.9545,0.9002,0.7091,0.5837,0.4548,0.334,0.1498,0.0903,0.0518,0.0146,0.0072,0.0031,0.0004,0.0002,0.0001,0.0,0.0,0.0
BKN,3.3638328057733307,1.142861059563364,0.9999,0.9986,0.9944,0.9534,0.9032,0.7139,0.5849,0.4544,0.2248,0.1453,0.0913,0.0277,0.0146,0.0065,0.0023,0.0005,0.0001,0.0,0.0,0.0,0.0
NYK,3.1420601295018793,1.085558262652828,1.0,0.9991,0.9951,0.9533,0.8186,0.7111,0.5842,0.3291,0.2288,0.0926,0.0538,0.0169,0.0092,0.0041,0.0013,0.0003,0.0002,0.0,0.0,0.0,0.0
ORL,3.1295316305059053,1.045728634285412,1.0,0.9989,0.9952,0.9545,0.817,0.7083,0.5824,0.3302,0.2268,0.0898,0.0271,0.0147,0.0072,0.004,0.0006,0.0001,0.0,0.0,0.0,0.0,0.0
IND,3.4582346468255505,1.1537668018562397,0.9999,0.9989,0.9946,0.9557,0.9001,0.8191,0.7107,0.4545,0.2277,0.1492,0.0911,0.0525,0.0152,0.0075,0.0037,0.0016,0.0004,0.0002,0.0,0.0,0.0
PHI,3.168887728474803,1.0922885030810188,0.9999,0.9989,0.9947,0.9521,0.8212,0.7092,0.5824,0.3318,0.2309,0.0945,0.0541,0.0283,0.0073,0.0034,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
PHX,3.2982279480871584,1.1025623083462848,0.9999,0.9989,0.995,0.9504,0.8995,0.7075,0.5829,0.4565,0.2275,0.1477,0.0521,0.0294,0.0149,0.0037,0.0017,0.0004,0.0002,0.0001,0.0,0.0,0.0
POR,3.399058804337901,1.151029956387214,0.9998,0.9986,0.9945,0.9514,0.9003,0.706,0.5735,0.456,0.3373,0.1473,0.0913,0.0287,0.0149,0.007,0.0028,0.0008,0.0,0.0,0.0,0.0,0.0
SAC,3.4302945506099407,1.1596941192838728,1.0,0.9991,0.9953,0.9532,0.8944,0.8117,0.5813,0.4503,0.322,0.1452,0.0889,0.053,0.0153,0.0079,0.0044,0.002,0.0001,0.0001,0.0,0.0,0.0
SAS,3.6069570671735636,1.222354505206804,1.0,0.9995,0.9948,0.956,0.9005,0.8216,0.7097,0.583,0.3299,0.224,0.1473,0.0541,0.0307,0.014,0.0066,0.0037,0.0006,0.0004,0.0001,0.0,0.0
OKC,3.3106134055151757,1.1205472903956541,1.0,0.9996,0.9947,0.9533,0.9012,0.7102,0.5845,0.4511,0.2227,0.1444,0.09,0.0307,0.0154,0.0087,0.0018,0.0005,0.0,0.0,0.0,0.0,0.0
TOR,3.400793562131439,1.1127250136010047,0.9998,0.9989,0.9957,0.9546,0.9011,0.8181,0.5818,0.4521,0.2314,0.1484,0.0929,0.0307,0.0167,0.009,0.0016,0.0005,0.0002,0.0001,0.0001,0.0,0.0
UTA,3.3651465139823915,1.114213850130553,0.9998,0.999,0.9943,0.9519,0.8976,0.7083,0.5845,0.4581,0.2274,0.1448,0.0903,0.0273,0.0138,0.0066,0.0014,0.0007,0.0001,0.0,0.0,0.0,0.0
MEM,3.290369722528328,1.1108377406647398,0.9999,0.9985,0.9952,0.954,0.901,0.7075,0.5852,0.4546,0.2277,0.152,0.057,0.0309,0.0157,0.0031,0.0013,0.0002,0.0001,0.0,0.0,0.0,0.0
WAS,3.3251119313197663,1.1140736182699942,1.0,0.999,0.9944,0.9549,0.9043,0.7103,0.5819,0.4501,0.2298,0.1493,0.0908,0.0303,0.015,0.007,0.0014,0.0006,0.0002,0.0001,0.0,0.0,0.0
DET,3.3236415253312765,1.1427213359422157,1.0,0.9989,0.9949,0.9518,0.9025,0.7116,0.5853,0.4574,0.2288,0.1507,0.094,0.0282,0.0152,0.0075,0.0023,0.0013,0.0003,0.0,0.0,0.0,0.0
CHA,3.352467294289767,1.1736239341794523,1.0,0.9988,0.9941,0.9534,0.9051,0.7083,0.5816,0.4538,0.2327,0.1517,0.0938,0.0303,0.0177,0.0076,0.0031,0.0004,0.0001,0.0001,0.0,0.0,0.0
